state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Gorabalu,20-06-2018,33599,34499,33844
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,02-01-2018,26189,37669,34043
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,05-01-2018,30069,37919,36610
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,10-01-2018,18009,37699,35885
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,23-01-2018,23069,37109,33763
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,30-01-2018,30199,36511,34109
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,02-02-2018,32169,36219,34773
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,06-02-2018,34169,36549,34526
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,09-02-2018,30169,36799,35317
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,06-03-2018,25169,35319,32625
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,13-03-2018,21169,35299,32544
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,22-05-2018,30199,36709,35006
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,25-05-2018,31169,35689,34781
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,29-05-2018,26199,35989,34221
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,01-06-2018,28169,36471,34628
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,04-06-2018,34299,35599,34813
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,05-06-2018,23501,35801,34380
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,06-06-2018,33099,34899,33480
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,08-06-2018,28555,36001,33846
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,11-06-2018,33099,34299,33623
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,12-06-2018,30055,35669,33481
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,13-06-2018,31099,34499,32624
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,15-06-2018,31055,35001,33322
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,18-06-2018,32099,34209,33694
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,19-06-2018,30199,35201,33416
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,22-06-2018,28199,34509,33148
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,26-06-2018,24199,33501,31631
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,29-06-2018,27199,32099,30537
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,03-07-2018,24199,32269,30882
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,04-07-2018,31899,31899,31899
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,10-07-2018,24099,33269,28899
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,11-07-2018,27509,30599,29315
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,13-07-2018,12099,32721,27179
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,17-07-2018,20119,29201,26930
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,18-07-2018,29299,29299,29299
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,20-07-2018,26155,32009,28609
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,23-07-2018,30399,30399,30399
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,26-07-2018,29599,30399,30120
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,31-07-2018,21009,33601,28660
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,01-08-2018,28000,30099,28787
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,03-08-2018,22099,33101,28083
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,07-08-2018,22099,33816,29594
Karnataka,Shimoga,Bhadravathi,Arecanut(Betelnut/Supari),Rashi,08-08-2018,30529,31699,31172
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,05-01-2018,38229,38229,38229
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,12-01-2018,27009,27009,27009
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,31-01-2018,36009,36009,36009
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,16-02-2018,37210,37210,37210
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,21-02-2018,36269,36269,36269
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,21-03-2018,38211,38211,38211
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,06-04-2018,35039,35039,35039
